Freq.,IV,
1.00000000000000e+000,4.40364022934749e+001,9.00016363637005e+001
4.11566265060241e+001,1.17470323856932e+001,9.00673516798786e+001
8.13132530120482e+001,5.83093181967595e+000,9.01330925515691e+001
1.21469879518072e+002,2.34202193031701e+000,9.01988839455955e+001
1.61626506024096e+002,-1.42718708747585e-001,9.02647508923010e+001
2.01783132530121e+002,-2.07512297628890e+000,9.03307185171270e+001
2.41939759036145e+002,-3.65762906117620e+000,9.03968120724421e+001
2.82096385542169e+002,-4.99859492003651e+000,9.04630569697042e+001
3.22253012048193e+002,-6.16284905626349e+000,9.05294788120439e+001
3.62409638554217e+002,-7.19227664767547e+000,9.05961034273550e+001
4.02566265060241e+002,-8.11551307933448e+000,9.06629569019825e+001
4.42722891566265e+002,-8.95300381433158e+000,9.07300656151021e+001
4.82879518072289e+002,-9.71985811490676e+000,9.07974562738856e+001
5.23036144578313e+002,-1.04275588695061e+001,9.08651559495522e+001
5.63192771084337e+002,-1.10850381453908e+001,9.09331921144101e+001
6.03349397590361e+002,-1.16993814169870e+001,9.10015926799954e+001
6.43506024096386e+002,-1.22763044198995e+001,9.10703860364224e+001
6.83662650602410e+002,-1.28204854081076e+001,9.11396010930650e+001
7.23819277108434e+002,-1.33358024358265e+001,9.12092673206933e+001
7.63975903614458e+002,-1.38255064891133e+001,9.12794147952000e+001
8.04132530120482e+002,-1.42923502169811e+001,9.13500742430544e+001
8.44289156626506e+002,-1.47386852630727e+001,9.14212770886365e+001
8.84445783132530e+002,-1.51665369635740e+001,9.14930555036057e+001
9.24602409638554e+002,-1.55776624486694e+001,9.15654424584759e+001
9.64759036144578e+002,-1.59735963858411e+001,9.16384717765760e+001
1.00491566265060e+003,-1.63556873920275e+001,9.17121781905878e+001
1.04507228915663e+003,-1.67251273105386e+001,9.17865974018685e+001
1.08522891566265e+003,-1.70829749684979e+001,9.18617661427787e+001
1.12538554216867e+003,-1.74301756192603e+001,9.19377222422534e+001
1.16554216867470e+003,-1.77675769784209e+001,9.20145046948708e+001
1.20569879518072e+003,-1.80959425464335e+001,9.20921537336964e+001
1.24585542168675e+003,-1.84159627518204e+001,9.21707109071966e+001
1.28601204819277e+003,-1.87282643303137e+001,9.22502191605438e+001
1.32616867469880e+003,-1.90334182658309e+001,9.23307229216604e+001
1.36632530120482e+003,-1.93319465511122e+001,9.24122681923743e+001
1.40648192771084e+003,-1.96243279735597e+001,9.24949026450953e+001
1.44663855421687e+003,-1.99110030913126e+001,9.25786757254521e+001
1.48679518072289e+003,-2.01923785329663e+001,9.26636387613682e+001
1.52695180722892e+003,-2.04688307294703e+001,9.27498450790997e+001
1.56710843373494e+003,-2.07407091670277e+001,9.28373501268002e+001
1.60726506024096e+003,-2.10083392341098e+001,9.29262116062311e+001
1.64742168674699e+003,-2.12720247230878e+001,9.30164896132918e+001
1.68757831325301e+003,-2.15320500368115e+001,9.31082467881053e+001
1.72773493975904e+003,-2.17886821422034e+001,9.32015484754643e+001
1.76789156626506e+003,-2.20421723062022e+001,9.32964628965174e+001
1.80804819277109e+003,-2.22927576438642e+001,9.33930613326617e+001
1.84820481927711e+003,-2.25406625038845e+001,9.34914183226988e+001
1.88836144578313e+003,-2.27860997130326e+001,9.35916118744173e+001
1.92851807228916e+003,-2.30292716978741e+001,9.36937236918782e+001
1.96867469879518e+003,-2.32703714995405e+001,9.37978394198103e+001
2.00883132530121e+003,-2.35095836951280e+001,9.39040489066638e+001
2.04898795180723e+003,-2.37470852374730e+001,9.40124464880321e+001
2.08914457831325e+003,-2.39830462235112e+001,9.41231312923293e+001
2.12930120481928e+003,-2.42176306001206e+001,9.42362075708099e+001
2.16945783132530e+003,-2.44509968152487e+001,9.43517850542443e+001
2.20961445783133e+003,-2.46832984211872e+001,9.44699793388106e+001
2.24977108433735e+003,-2.49146846360625e+001,9.45909123040495e+001
2.28992771084338e+003,-2.51453008689371e+001,9.47147125660429e+001
2.33008433734940e+003,-2.53752892133404e+001,9.48415159693375e+001
2.37024096385542e+003,-2.56047889135605e+001,9.49714661215367e+001
2.41039759036145e+003,-2.58339368076157e+001,9.51047149749394e+001
2.45055421686747e+003,-2.60628677504725e+001,9.52414234601222e+001
2.49071084337350e+003,-2.62917150207832e+001,9.53817621769455e+001
2.53086746987952e+003,-2.65206107141706e+001,9.55259121491274e+001
2.57102409638554e+003,-2.67496861258828e+001,9.56740656492852e+001
2.61118072289157e+003,-2.69790721254746e+001,9.58264271022062e+001
2.65133734939759e+003,-2.72088995260415e+001,9.59832140750876e+001
2.69149397590362e+003,-2.74392994504278e+001,9.61446583646123e+001
2.73165060240964e+003,-2.76704036967582e+001,9.63110071920076e+001
2.77180722891567e+003,-2.79023451055921e+001,9.64825245187146e+001
2.81196385542169e+003,-2.81352579309712e+001,9.66594924969862e+001
2.85212048192771e+003,-2.83692782176323e+001,9.68422130716862e+001
2.89227710843374e+003,-2.86045441866644e+001,9.70310097518178e+001
2.93243373493976e+003,-2.88411966319297e+001,9.72262295729108e+001
2.97259036144579e+003,-2.90793793296143e+001,9.74282452744215e+001
3.01274698795181e+003,-2.93192394633408e+001,9.76374577198013e+001
3.05290361445783e+003,-2.95609280673528e+001,9.78542985909729e+001
3.09306024096386e+003,-2.98046004903712e+001,9.80792333937110e+001
3.13321686746988e+003,-3.00504168828143e+001,9.83127648159826e+001
3.17337349397591e+003,-3.02985427101730e+001,9.85554364878224e+001
3.21353012048193e+003,-3.05491492954223e+001,9.88078371989609e+001
3.25368674698796e+003,-3.08024143934276e+001,9.90706056394283e+001
3.29384337349398e+003,-3.10585228003571e+001,9.93444357389707e+001
3.33400000000000e+003,-3.13176670011180e+001,9.96300826936665e+001
3.37415662650603e+003,-3.15800478577736e+001,9.99283697830032e+001
3.41431325301205e+003,-3.18458753417441e+001,1.00240196098340e+002
3.45446987951808e+003,-3.21153693122925e+001,1.00566545324707e+002
3.49462650602410e+003,-3.23887603432990e+001,1.00908495742994e+002
3.53478313253012e+003,-3.26662905995496e+001,1.01267231649558e+002
3.57493975903615e+003,-3.29482147625964e+001,1.01644056426260e+002
3.61509638554217e+003,-3.32348010045471e+001,1.02040407537074e+002
3.65525301204820e+003,-3.35263320056987e+001,1.02457873779313e+002
3.69540963855422e+003,-3.38231060084842e+001,1.02898215180041e+002
3.73556626506025e+003,-3.41254378953556e+001,1.03363386003592e+002
3.77572289156627e+003,-3.44336602714909e+001,1.03855561427056e+002
3.81587951807229e+003,-3.47481245238597e+001,1.04377168550334e+002
3.85603614457832e+003,-3.50692018152472e+001,1.04930922539606e+002
3.89619277108434e+003,-3.53972839539829e+001,1.05519868862287e+002
3.93634939759037e+003,-3.57327840554852e+001,1.06147432762395e+002
3.97650602409639e+003,-3.60761368777604e+001,1.06817477352843e+002
4.01666265060241e+003,-3.64277986661248e+001,1.07534371970204e+002
4.05681927710844e+003,-3.67882462777303e+001,1.08303072751087e+002
4.09697590361446e+003,-3.71579752671297e+001,1.09129217747407e+002
4.13713253012049e+003,-3.75374964906915e+001,1.10019239293208e+002
4.17728915662651e+003,-3.79273306171427e+001,1.10980496747954e+002
4.21744578313253e+003,-3.83279996961412e+001,1.12021433126084e+002
4.25760240963856e+003,-3.87400146125714e+001,1.13151759394186e+002
4.29775903614458e+003,-3.91638568095686e+001,1.14382670217946e+002
4.33791566265060e+003,-3.95999520577100e+001,1.15727094393787e+002
4.37807228915663e+003,-4.00486332328531e+001,1.17199981629344e+002
4.41822891566265e+003,-4.05100879891931e+001,1.18818623947774e+002
4.45838554216868e+003,-4.09842858374590e+001,1.20603003486525e+002
4.49854216867470e+003,-4.14708774683168e+001,1.22576146789963e+002
4.53869879518072e+003,-4.19690573283132e+001,1.24764445744125e+002
4.57885542168675e+003,-4.24773788612045e+001,1.27197872647220e+002
4.61901204819277e+003,-4.29935114099715e+001,1.29909965959105e+002
4.65916867469879e+003,-4.35139304404723e+001,1.32937388620813e+002
4.69932530120482e+003,-4.40335419390487e+001,1.36318761527433e+002
4.73948192771084e+003,-4.45452629585778e+001,1.40092364283949e+002
4.77963855421687e+003,-4.50396200636407e+001,1.44292220503995e+002
4.81979518072289e+003,-4.55044901038315e+001,1.48942151143395e+002
4.85995180722891e+003,-4.59251851804665e+001,1.54047763170443e+002
4.90010843373494e+003,-4.62851389352372e+001,1.59587231447809e+002
4.94026506024096e+003,-4.65674077507497e+001,1.65503119998559e+002
4.98042168674698e+003,-4.67569698859187e+001,1.71698820993111e+002
5.02057831325301e+003,-4.68433872415655e+001,1.78043242906146e+002
5.06073493975903e+003,-4.68229909470748e+001,-1.75614993590088e+002
5.10089156626506e+003,-4.66997149417292e+001,-1.69426902423305e+002
5.14104819277108e+003,-4.64842070488200e+001,-1.63522600535858e+002
5.18120481927710e+003,-4.61916119796231e+001,-1.57997406731193e+002
5.22136144578313e+003,-4.58389097922342e+001,-1.52907470495123e+002
5.26151807228915e+003,-4.54426390868928e+001,-1.48273551928173e+002
5.30167469879517e+003,-4.50174247164742e+001,-1.44089287608454e+002
5.34183132530120e+003,-4.45753157705889e+001,-1.40330396040796e+002
5.38198795180722e+003,-4.41257161621059e+001,-1.36962627195641e+002
5.42214457831324e+003,-4.36756514650576e+001,-1.33947637267900e+002
5.46230120481927e+003,-4.32301726856971e+001,-1.31246841549919e+002
5.50245783132529e+003,-4.27927749786293e+001,-1.28823668133370e+002
5.54261445783132e+003,-4.23657712545022e+001,-1.26644694167694e+002
5.58277108433734e+003,-4.19505996761504e+001,-1.24680069031252e+002
5.62292771084336e+003,-4.15480646561077e+001,-1.22903518186961e+002
5.66308433734939e+003,-4.11585198650419e+001,-1.21292122914325e+002
5.70324096385541e+003,-4.07820042775879e+001,-1.19825997310518e+002
5.74339759036143e+003,-4.04183418011270e+001,-1.18487933710919e+002
5.78355421686746e+003,-4.00672134193864e+001,-1.17263055535806e+002
5.82371084337348e+003,-3.97282089510433e+001,-1.16138496959867e+002
5.86386746987951e+003,-3.94008638623614e+001,-1.15103117346565e+002
5.90402409638553e+003,-3.90846852065969e+001,-1.14147252017468e+002
5.94418072289155e+003,-3.87791696965141e+001,-1.13262497615945e+002
5.98433734939758e+003,-3.84838161092533e+001,-1.12441528798822e+002
6.02449397590360e+003,-3.81981336233555e+001,-1.11677942466949e+002
6.06465060240962e+003,-3.79216472477047e+001,-1.10966125759203e+002
6.10480722891565e+003,-3.76539011813839e+001,-1.10301144311797e+002
6.14496385542167e+003,-3.73944607105832e+001,-1.09678647671682e+002
6.18512048192770e+003,-3.71429130800118e+001,-1.09094789165057e+002
6.22527710843372e+003,-3.68988676541668e+001,-1.08546157916364e+002
6.26543373493974e+003,-3.66619555954372e+001,-1.08029721069860e+002
6.30559036144577e+003,-3.64318292220319e+001,-1.07542774577938e+002
6.34574698795179e+003,-3.62081611623595e+001,-1.07082901187957e+002
6.38590361445781e+003,-3.59906433888854e+001,-1.06647934485588e+002
6.42606024096384e+003,-3.57789861901277e+001,-1.06235928042463e+002
6.46621686746986e+003,-3.55729171217977e+001,-1.05845128874060e+002
6.50637349397589e+003,-3.53721799653043e+001,-1.05473954545300e+002
6.54653012048191e+003,-3.51765337126029e+001,-1.05120973370274e+002
6.58668674698793e+003,-3.49857515897088e+001,-1.04784887242973e+002
6.62684337349396e+003,-3.47996201264245e+001,-1.04464516710723e+002
6.66699999999998e+003,-3.46179382764295e+001,-1.04158787964186e+002
6.70715662650600e+003,-3.44405165894824e+001,-1.03866721469347e+002
6.74731325301203e+003,-3.42671764358193e+001,-1.03587422009813e+002
6.78746987951805e+003,-3.40977492816989e+001,-1.03320069943472e+002
6.82762650602407e+003,-3.39320760142910e+001,-1.03063913507373e+002
6.86778313253010e+003,-3.37700063136375e+001,-1.02818262029661e+002
6.90793975903612e+003,-3.36113980691399e+001,-1.02582479928257e+002
6.94809638554215e+003,-3.34561168379005e+001,-1.02355981393593e+002
6.98825301204817e+003,-3.33040353422114e+001,-1.02138225667444e+002
7.02840963855419e+003,-3.31550330035252e+001,-1.01928712842425e+002
7.06856626506022e+003,-3.30089955103256e+001,-1.01726980117245e+002
7.10872289156624e+003,-3.28658144174282e+001,-1.01532598451787e+002
7.14887951807226e+003,-3.27253867743755e+001,-1.01345169573669e+002
7.18903614457829e+003,-3.25876147807288e+001,-1.01164323294427e+002
7.22919277108431e+003,-3.24524054662034e+001,-1.00989715099013e+002
7.26934939759034e+003,-3.23196703937375e+001,-1.00821023977001e+002
7.30950602409636e+003,-3.21893253837217e+001,-1.00657950467975e+002
7.34966265060238e+003,-3.20612902577510e+001,-1.00500214897062e+002
7.38981927710841e+003,-3.19354886003856e+001,-1.00347555779570e+002
7.42997590361443e+003,-3.18118475375270e+001,-1.00199728376283e+002
7.47013253012045e+003,-3.16902975301243e+001,-1.00056503383220e+002
7.51028915662648e+003,-3.15707721820318e+001,-9.99176657415879e+001
7.55044578313250e+003,-3.14532080609306e+001,-9.97830135553717e+001
7.59060240963853e+003,-3.13375445313194e+001,-9.96523571054497e+001
7.63075903614455e+003,-3.12237235986564e+001,-9.95255179504141e+001
7.67091566265057e+003,-3.11116897638120e+001,-9.94023281053925e+001
7.71107228915660e+003,-3.10013898870601e+001,-9.92826292911411e+001
7.75122891566262e+003,-3.08927730608964e+001,-9.91662722465388e+001
7.79138554216864e+003,-3.07857904910325e+001,-9.90531160983636e+001
7.83154216867467e+003,-3.06803953849667e+001,-9.89430277828927e+001
7.87169879518069e+003,-3.05765428475784e+001,-9.88358815144520e+001
7.91185542168672e+003,-3.04741897832405e+001,-9.87315582965531e+001
7.95201204819274e+003,-3.03732948039829e+001,-9.86299454717114e+001
7.99216867469876e+003,-3.02738181432765e+001,-9.85309363064397e+001
8.03232530120479e+003,-3.01757215750431e+001,-9.84344296082696e+001
8.07248192771081e+003,-3.00789683375255e+001,-9.83403293719669e+001
8.11263855421683e+003,-2.99835230616815e+001,-9.82485444523912e+001
8.15279518072286e+003,-2.98893517037923e+001,-9.81589882616984e+001
8.19295180722888e+003,-2.97964214819973e+001,-9.80715784888079e+001
8.23310843373491e+003,-2.97047008164911e+001,-9.79862368392576e+001
8.27326506024093e+003,-2.96141592731389e+001,-9.79028887937445e+001
8.31342168674695e+003,-2.95247675102823e+001,-9.78214633838118e+001
8.35357831325298e+003,-2.94364972285269e+001,-9.77418929832839e+001
8.39373493975900e+003,-2.93493211233179e+001,-9.76641131141785e+001
8.43389156626503e+003,-2.92632128401234e+001,-9.75880622659436e+001
8.47404819277105e+003,-2.91781469320587e+001,-9.75136817269661e+001
8.51420481927708e+003,-2.90940988197970e+001,-9.74409154273958e+001
8.55436144578310e+003,-2.90110447536233e+001,-9.73697097924105e+001
8.59451807228913e+003,-2.89289617774978e+001,-9.73000136051255e+001
8.63467469879515e+003,-2.88478276950039e+001,-9.72317778784176e+001
8.67483132530118e+003,-2.87676210370677e+001,-9.71649557349972e+001
8.71498795180720e+003,-2.86883210313390e+001,-9.70995022951182e+001
8.75514457831323e+003,-2.86099075731358e+001,-9.70353745713655e+001
8.79530120481925e+003,-2.85323611978586e+001,-9.69725313700060e+001
8.83545783132528e+003,-2.84556630547869e+001,-9.69109331984339e+001
8.87561445783130e+003,-2.83797948821783e+001,-9.68505421782738e+001
8.91577108433732e+003,-2.83047389835936e+001,-9.67913219637465e+001
8.95592771084335e+003,-2.82304782053771e+001,-9.67332376649271e+001
8.99608433734937e+003,-2.81569959152274e+001,-9.66762557755608e+001
9.03624096385540e+003,-2.80842759817951e+001,-9.66203441051225e+001
9.07639759036142e+003,-2.80123027552519e+001,-9.65654717148328e+001
9.11655421686745e+003,-2.79410610487748e+001,-9.65116088573657e+001
9.15671084337347e+003,-2.78705361208968e+001,-9.64587269200025e+001
9.19686746987950e+003,-2.78007136586753e+001,-9.64067983710035e+001
9.23702409638552e+003,-2.77315797616341e+001,-9.63557967089887e+001
9.27718072289155e+003,-2.76631209264380e+001,-9.63056964151325e+001
9.31733734939757e+003,-2.75953240322601e+001,-9.62564729079920e+001
9.35749397590360e+003,-2.75281763268049e+001,-9.62081025008007e+001
9.39765060240962e+003,-2.74616654129538e+001,-9.61605623610741e+001
9.43780722891564e+003,-2.73957792359989e+001,-9.61138304723806e+001
9.47796385542167e+003,-2.73305060714365e+001,-9.60678855981462e+001
9.51812048192769e+003,-2.72658345132899e+001,-9.60227072473655e+001
9.55827710843372e+003,-2.72017534629353e+001,-9.59782756421050e+001
9.59843373493974e+003,-2.71382521184059e+001,-9.59345716866903e+001
9.63859036144577e+003,-2.70753199641486e+001,-9.58915769384754e+001
9.67874698795179e+003,-2.70129467612122e+001,-9.58492735801015e+001
9.71890361445782e+003,-2.69511225378454e+001,-9.58076443931565e+001
9.75906024096384e+003,-2.68898375804846e+001,-9.57666727331552e+001
9.79921686746987e+003,-2.68290824251111e+001,-9.57263425057612e+001
9.83937349397589e+003,-2.67688478489626e+001,-9.56866381441823e+001
9.87953012048192e+003,-2.67091248625796e+001,-9.56475445876693e+001
9.91968674698794e+003,-2.66499047021716e+001,-9.56090472610590e+001
9.95984337349396e+003,-2.65911788222881e+001,-9.55711320553006e+001
1.00000000000000e+004,-2.65329388887802e+001,-9.55337853089113e+001