time,I(C1)
0.000000000000000e+000,0.000000e+000
2.561174600191101e-007,9.191517e-009
5.122349200382202e-007,3.364970e-008
7.683523800573303e-007,7.337455e-008
1.024469840076441e-006,1.283661e-007
1.280587300095551e-006,1.986243e-007
1.536704760114661e-006,2.841491e-007
1.792822220133770e-006,3.849406e-007
2.252436261788294e-006,5.974222e-007
2.832924168395490e-006,9.252177e-007
3.574179308462449e-006,1.433945e-006
4.522004653175261e-006,2.219353e-006
5.747319622728993e-006,3.435169e-006
7.343423331640187e-006,5.311488e-006
9.455007135059091e-006,8.212451e-006
1.229707592864675e-005,1.269531e-005
1.623016308187891e-005,1.960447e-005
2.056606185796261e-005,2.778232e-005
2.847456258772576e-005,4.377897e-005
3.749882175170070e-005,6.200849e-005
5.554734007965060e-005,9.693949e-005
8.091671349005740e-005,1.412693e-004
1.276923530315785e-004,2.110199e-004
1.782098042323683e-004,2.712388e-004
2.548150911517803e-004,3.388592e-004
3.447121313868425e-004,3.930195e-004
4.758739689801162e-004,4.414338e-004
6.113793504793879e-004,4.690430e-004
7.945145114463151e-004,4.866503e-004
1.000379191125299e-003,4.948928e-004
1.298375727394010e-003,4.986553e-004
1.000000000000000e-002,5.000000e-004
1.000748002046745e-002,4.911192e-004
1.002244006140235e-002,4.669772e-004
1.005236014327214e-002,4.101701e-004
1.008002975014468e-002,3.598339e-004
1.011028648369278e-002,3.130652e-004
1.017079995078896e-002,2.384968e-004
1.025300096894498e-002,1.622968e-004
1.033224505384504e-002,1.109494e-004
1.041764526047008e-002,7.357702e-005
1.049569741717889e-002,5.043528e-005
1.057793060751448e-002,3.398779e-005
1.065676537327533e-002,2.324978e-005
1.073869770596392e-002,1.568803e-005
1.081831015834662e-002,1.069157e-005
1.089968506405895e-002,7.231178e-006
1.097964577740950e-002,4.920877e-006
1.106067475829338e-002,3.333386e-006
1.114091779738680e-002,2.265610e-006
1.122173133133157e-002,1.536149e-006
1.130215063864757e-002,1.043273e-006
1.138282058905729e-002,7.078117e-007
1.146335192627232e-002,4.804759e-007
1.154393376742100e-002,3.261049e-007
1.162453393787942e-002,2.213003e-007
1.170506333111160e-002,1.502331e-007
1.178570282505418e-002,1.019335e-007
1.186620350429757e-002,6.920761e-008
1.194686306953529e-002,4.695357e-008
1.202735044843546e-002,3.188080e-008
1.210801756441289e-002,2.162873e-008
1.218850129446146e-002,1.468579e-008
1.234965362843169e-002,6.764918e-009
1.248774375580341e-002,4.387923e-009
1.262583388317513e-002,2.484203e-009
1.276392401054685e-002,1.053757e-009
1.290201413791857e-002,9.658694e-011
1.304010426529029e-002,-3.873085e-010
1.317819439266201e-002,-3.979291e-010
1.331628452003373e-002,6.472536e-011
2.909135753936171e-002,-4.449800e-017
3.000000000000000e-002,-1.014813e-016